scale,foundation,condition,alpha,model
MFQ,Care,overall,0.48770601098725286,gpt-3.5-turbo
MFQ - part 1,Care,overall,0.3722689870424671,gpt-3.5-turbo
MFQ - part 2,Care,overall,0.3636042239881953,gpt-3.5-turbo
MFQ,Care,before,0.5216182619505026,gpt-3.5-turbo
MFQ - part 1,Care,before,0.3997175141242933,gpt-3.5-turbo
MFQ - part 2,Care,before,0.5036480373559026,gpt-3.5-turbo
MFQ,Care,after,0.4723611958511291,gpt-3.5-turbo
MFQ - part 1,Care,after,0.3605893503360334,gpt-3.5-turbo
MFQ - part 2,Care,after,0.2874193548387099,gpt-3.5-turbo
MFQ,Fairness,overall,0.48617440295158804,gpt-3.5-turbo
MFQ - part 1,Fairness,overall,0.2376844494892164,gpt-3.5-turbo
MFQ - part 2,Fairness,overall,0.449758929213942,gpt-3.5-turbo
MFQ,Fairness,before,0.2368163265306124,gpt-3.5-turbo
MFQ - part 1,Fairness,before,0.021479713603818562,gpt-3.5-turbo
MFQ - part 2,Fairness,before,0.302235929067078,gpt-3.5-turbo
MFQ,Fairness,after,0.542077505159367,gpt-3.5-turbo
MFQ - part 1,Fairness,after,0.3654595461838183,gpt-3.5-turbo
MFQ - part 2,Fairness,after,0.48078947368421016,gpt-3.5-turbo
MFQ,Loyalty,overall,0.422390931381061,gpt-3.5-turbo
MFQ - part 1,Loyalty,overall,0.34504748569341237,gpt-3.5-turbo
MFQ - part 2,Loyalty,overall,0.28998621002323505,gpt-3.5-turbo
MFQ,Loyalty,before,0.27404991491775404,gpt-3.5-turbo
MFQ - part 1,Loyalty,before,0.22494654312188145,gpt-3.5-turbo
MFQ - part 2,Loyalty,before,0.3092933204259442,gpt-3.5-turbo
MFQ,Loyalty,after,0.49899639096257475,gpt-3.5-turbo
MFQ - part 1,Loyalty,after,0.396352941176471,gpt-3.5-turbo
MFQ - part 2,Loyalty,after,0.2955825032481594,gpt-3.5-turbo
MFQ,Authority,overall,0.34241774629508837,gpt-3.5-turbo
MFQ - part 1,Authority,overall,0.35071027767191904,gpt-3.5-turbo
MFQ - part 2,Authority,overall,0.2189281641961235,gpt-3.5-turbo
MFQ,Authority,before,0.3663433559650824,gpt-3.5-turbo
MFQ - part 1,Authority,before,0.37367664357600294,gpt-3.5-turbo
MFQ - part 2,Authority,before,0.1367984693877548,gpt-3.5-turbo
MFQ,Authority,after,0.3422494974076818,gpt-3.5-turbo
MFQ - part 1,Authority,after,0.3957079646017703,gpt-3.5-turbo
MFQ - part 2,Authority,after,0.2142149578999502,gpt-3.5-turbo
MFQ,Sanctity,overall,0.5049998429697564,gpt-3.5-turbo
MFQ - part 1,Sanctity,overall,0.2869117261852793,gpt-3.5-turbo
MFQ - part 2,Sanctity,overall,0.6022887307523715,gpt-3.5-turbo
MFQ,Sanctity,before,0.4340952661849287,gpt-3.5-turbo
MFQ - part 1,Sanctity,before,0.2387789238918313,gpt-3.5-turbo
MFQ - part 2,Sanctity,before,0.5201090020672812,gpt-3.5-turbo
MFQ,Sanctity,after,0.5903218743157433,gpt-3.5-turbo
MFQ - part 1,Sanctity,after,0.45726055612770355,gpt-3.5-turbo
MFQ - part 2,Sanctity,after,0.6767533936651583,gpt-3.5-turbo
MFV,Care (E),overall,0.832471581613244,gpt-3.5-turbo
MFV,Care (E),before,0.7421808750109193,gpt-3.5-turbo
MFV,Care (E),after,0.9055607220243465,gpt-3.5-turbo
MFV,Care (P),overall,0.8531155694122498,gpt-3.5-turbo
MFV,Care (P),before,0.9010384235009707,gpt-3.5-turbo
MFV,Care (P),after,0.7851285936494312,gpt-3.5-turbo
MFV,Fairness,overall,0.8136157743870661,gpt-3.5-turbo
MFV,Fairness,before,0.8234856647615477,gpt-3.5-turbo
MFV,Fairness,after,0.7981196501877893,gpt-3.5-turbo
MFV,Liberty,overall,0.9258053000167105,gpt-3.5-turbo
MFV,Liberty,before,0.941376430675167,gpt-3.5-turbo
MFV,Liberty,after,0.8885622443015783,gpt-3.5-turbo
MFV,Authority,overall,0.8822714256880221,gpt-3.5-turbo
MFV,Authority,before,0.8675798090358472,gpt-3.5-turbo
MFV,Authority,after,0.8904935224832292,gpt-3.5-turbo
MFV,Loyalty,overall,0.9519829746547509,gpt-3.5-turbo
MFV,Loyalty,before,0.9557854753584291,gpt-3.5-turbo
MFV,Loyalty,after,0.9357024899736205,gpt-3.5-turbo
MFV,Sanctity,overall,0.8706017249175061,gpt-3.5-turbo
MFV,Sanctity,before,0.9097909790979098,gpt-3.5-turbo
MFV,Sanctity,after,0.7638373444294498,gpt-3.5-turbo
