scale,foundation,condition,alpha,model
MFQ,Care,overall,0.9072504137241729,gpt-4
MFQ - part 1,Care,overall,1.0,gpt-4
MFQ - part 2,Care,overall,0.771081361458282,gpt-4
MFQ,Care,before,0.05211917750734387,gpt-4
MFQ - part 1,Care,before,,gpt-4
MFQ - part 2,Care,before,0.06514897188417984,gpt-4
MFQ,Care,after,0.9411225083986561,gpt-4
MFQ - part 1,Care,after,1.0,gpt-4
MFQ - part 2,Care,after,0.9311052631578949,gpt-4
MFQ,Fairness,overall,0.8983128850182127,gpt-4
MFQ - part 1,Fairness,overall,1.0,gpt-4
MFQ - part 2,Fairness,overall,0.7591747639042585,gpt-4
MFQ,Fairness,before,0.25920700559474585,gpt-4
MFQ - part 1,Fairness,before,,gpt-4
MFQ - part 2,Fairness,before,0.32400875699343235,gpt-4
MFQ,Fairness,after,0.9112872796942357,gpt-4
MFQ - part 1,Fairness,after,1.0,gpt-4
MFQ - part 2,Fairness,after,0.8122185351979143,gpt-4
MFQ,Loyalty,overall,0.9480847377539768,gpt-4
MFQ - part 1,Loyalty,overall,0.9480606942752019,gpt-4
MFQ - part 2,Loyalty,overall,0.8943968709288366,gpt-4
MFQ,Loyalty,before,0.6231549974195768,gpt-4
MFQ - part 1,Loyalty,before,0.685121487119438,gpt-4
MFQ - part 2,Loyalty,before,0.2815597287428275,gpt-4
MFQ,Loyalty,after,0.9392557022809124,gpt-4
MFQ - part 1,Loyalty,after,0.9168746273271349,gpt-4
MFQ - part 2,Loyalty,after,0.9299501385041551,gpt-4
MFQ,Authority,overall,0.9400838828288862,gpt-4
MFQ - part 1,Authority,overall,0.9113295690936108,gpt-4
MFQ - part 2,Authority,overall,0.8982376367832066,gpt-4
MFQ,Authority,before,0.6985118017581504,gpt-4
MFQ - part 1,Authority,before,0.6299769186381996,gpt-4
MFQ - part 2,Authority,before,0.5428631756756759,gpt-4
MFQ,Authority,after,0.9082791498102132,gpt-4
MFQ - part 1,Authority,after,0.8517664609751138,gpt-4
MFQ - part 2,Authority,after,0.9058393070489845,gpt-4
MFQ,Sanctity,overall,0.9449379267624698,gpt-4
MFQ - part 1,Sanctity,overall,0.9424050827759776,gpt-4
MFQ - part 2,Sanctity,overall,0.9218444427856978,gpt-4
MFQ,Sanctity,before,0.6986767485822306,gpt-4
MFQ - part 1,Sanctity,before,0.6077691680261013,gpt-4
MFQ - part 2,Sanctity,before,0.5926229508196723,gpt-4
MFQ,Sanctity,after,0.9409565974742343,gpt-4
MFQ - part 1,Sanctity,after,0.9309663513351694,gpt-4
MFQ - part 2,Sanctity,after,0.9686942675159235,gpt-4
MFV,Care (E),overall,0.8836660262328352,gpt-4
MFV,Care (E),before,0.854150010830396,gpt-4
MFV,Care (E),after,0.8284368949128674,gpt-4
MFV,Care (P),overall,0.4218042464696612,gpt-4
MFV,Care (P),before,0.3621045392022008,gpt-4
MFV,Care (P),after,0.2773972602739726,gpt-4
MFV,Fairness,overall,0.809813812643351,gpt-4
MFV,Fairness,before,0.7883332738880764,gpt-4
MFV,Fairness,after,0.8041420118343194,gpt-4
MFV,Liberty,overall,0.9043343582475112,gpt-4
MFV,Liberty,before,0.8567212040556565,gpt-4
MFV,Liberty,after,0.9251946079362067,gpt-4
MFV,Authority,overall,0.8818911539746898,gpt-4
MFV,Authority,before,0.8756581119355007,gpt-4
MFV,Authority,after,0.8481555987437537,gpt-4
MFV,Loyalty,overall,0.8720307840832119,gpt-4
MFV,Loyalty,before,0.8509121272766655,gpt-4
MFV,Loyalty,after,0.9174370043276935,gpt-4
MFV,Sanctity,overall,0.4267430257277976,gpt-4
MFV,Sanctity,before,0.395899028882509,gpt-4
MFV,Sanctity,after,0.47279614325068875,gpt-4
