id,condition,emotionally,treated,lovecountry,respect,decency,math,weak,unfairly,betray,traditions,disgusting,cruel,rights,loyalty,chaos,god,compassion,fairly,history,kidrespect,harmlessdg,good,animal,justice,family,sexroles,unnatural,kill,rich,team,soldier,chastity,102,103,104,105,108,109,110,111,112,113,114,201,202,203,204,205,206,207,208,303,402,403,404,405,406,408,409,410,411,501,502,503,504,507,509,510,601,602,603,604,605,608,610,611,612,614,701,702,703,704,705,706,707,709,710,711,712,713,714,715,716,801,802,803,804,805,808,810
1,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,3,5,5,5,4,2,2,5,3,3,2,3,3,4,4,5,5,3,3,4,3,4,3,5,5,4,5,5,5,5,5,4,4,3,3,4,5,4,3,4,4,4,4,5,4,3,4,4,4,4,4,4,4,3,5,4,4,4,5,3,5,4,5,4,4,5,5,4,3,5,3,5,4,5,5,5,5,3,5,4
2,before,5,5,2,3,4,0,5,5,3,3,4,5,5,4,4,2,4,5,3,4,2,5,5,5,3,2,2,4,3,3,3,2,3,5,3,5,5,4,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,5,5,4,4,4,4,4,3,4,4,3,5,4,4,4,5,3,5,4,5,3,4,5,5,3,3,5,3,5,4,5,5,5,5,4,5,4
3,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,3,5,5,5,3,2,3,4,4,3,3,3,3,5,4,5,5,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,4,5,4,4,3,5,5,4,5,5,4,5,4,5,4,5,3,5,4,5,4,5,5,5,5,3,5,3,5,4,5,5,5,5,3,5,3
4,before,5,5,2,3,4,0,5,5,3,2,4,5,5,3,4,3,5,5,3,4,3,5,5,5,2,1,2,4,4,3,3,2,3,5,4,5,4,3,3,4,4,3,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,4,5,4,4,3,4,3,3,4,3,3,4,3,4,4,3,2,3,2,5,2,3,4,5,3,2,5,2,5,4,5,5,5,5,3,5,3
5,before,5,5,2,3,4,0,5,5,3,2,3,5,5,3,4,2,5,5,3,4,2,5,5,5,2,1,2,3,4,2,2,3,3,4,3,5,4,3,3,4,4,3,3,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,4,4,4,4,3,4,3,4,4,4,4,4,4,5,4,4,4,5,3,5,4,5,3,4,5,5,4,3,5,4,5,4,5,5,5,5,3,5,3
6,before,5,5,3,4,3,0,5,5,4,2,4,5,5,4,4,2,5,5,3,4,2,5,5,5,3,1,1,4,4,3,3,2,3,5,4,5,5,3,3,5,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,5,4,4,5,4,3,5,5,5,3,5,5,5,4,3,5,4,5,4,5,5,5,5,3,5,3
7,before,5,5,2,3,4,0,5,5,4,2,4,5,5,4,4,2,4,5,3,4,2,5,5,5,2,2,1,4,3,3,2,2,3,4,3,5,4,3,2,4,3,3,3,5,5,4,5,5,5,5,5,4,4,3,4,5,5,5,3,5,5,4,4,4,4,3,4,3,4,4,4,4,5,3,5,4,4,4,5,3,5,4,5,3,4,4,5,4,3,5,3,5,4,5,5,5,5,3,5,3
8,before,5,5,1,2,3,0,5,5,3,2,2,5,5,3,4,1,5,5,0,4,2,5,5,5,3,1,2,2,3,2,1,2,3,4,4,5,5,3,3,4,3,4,3,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,4,4,4,5,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,3,5,3,3,4,5,3,2,5,2,5,3,5,5,5,5,2,4,3
9,before,5,5,3,3,4,0,5,5,3,2,4,5,5,3,4,3,5,5,3,4,3,5,5,5,3,2,2,5,4,3,3,3,3,5,4,5,5,3,3,5,4,4,3,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,4,4,5,4,4,5,4,4,4,4,4,5,4,5,4,5,3,5,2,5,4,5,3,4,5,5,4,3,5,2,5,5,5,5,5,5,4,5,4
10,before,5,5,4,4,4,0,5,5,5,3,4,5,5,4,4,3,5,5,3,4,3,5,5,5,4,2,3,4,4,3,3,3,3,4,3,4,4,3,2,4,4,3,3,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,3,5,5,4,5,5,5,5,5,4,4,4,3,4,4,3,4,5,4,4,4,3,5,4,5,4,5,5,5,5,2,5,4,5,4,5,5,5,5,3,4,3
