gen_id,answer,mfv_code,model
1,3,206,gpt-3.5-turbo
3,3,206,gpt-3.5-turbo
4,4,206,gpt-3.5-turbo
5,3,206,gpt-3.5-turbo
6,4,206,gpt-3.5-turbo
7,4,206,gpt-3.5-turbo
8,4,206,gpt-3.5-turbo
9,4,206,gpt-3.5-turbo
10,4,206,gpt-3.5-turbo
11,4,206,gpt-3.5-turbo
12,4,206,gpt-3.5-turbo
13,4,206,gpt-3.5-turbo
14,4,206,gpt-3.5-turbo
15,4,206,gpt-3.5-turbo
18,4,206,gpt-3.5-turbo
19,4,206,gpt-3.5-turbo
20,3,206,gpt-3.5-turbo
21,4,206,gpt-3.5-turbo
22,3,206,gpt-3.5-turbo
23,4,206,gpt-3.5-turbo
24,5,206,gpt-3.5-turbo
25,3,206,gpt-3.5-turbo
26,4,206,gpt-3.5-turbo
27,4,206,gpt-3.5-turbo
28,4,206,gpt-3.5-turbo
29,3,206,gpt-3.5-turbo
30,3,206,gpt-3.5-turbo
31,4,206,gpt-3.5-turbo
32,4,206,gpt-3.5-turbo
33,4,206,gpt-3.5-turbo
34,4,206,gpt-3.5-turbo
35,3,206,gpt-3.5-turbo
36,3,206,gpt-3.5-turbo
37,4,206,gpt-3.5-turbo
38,4,206,gpt-3.5-turbo
39,4,206,gpt-3.5-turbo
40,4,206,gpt-3.5-turbo
41,3,206,gpt-3.5-turbo
42,4,206,gpt-3.5-turbo
43,4,206,gpt-3.5-turbo
44,4,206,gpt-3.5-turbo
45,4,206,gpt-3.5-turbo
47,4,206,gpt-3.5-turbo
48,4,206,gpt-3.5-turbo
49,4,206,gpt-3.5-turbo
50,4,206,gpt-3.5-turbo
51,3,206,gpt-3.5-turbo
52,3,206,gpt-3.5-turbo
53,4,206,gpt-3.5-turbo
55,3,206,gpt-3.5-turbo
56,4,206,gpt-3.5-turbo
57,4,206,gpt-3.5-turbo
58,3,206,gpt-3.5-turbo
60,3,206,gpt-3.5-turbo
61,4,206,gpt-3.5-turbo
62,4,206,gpt-3.5-turbo
63,4,206,gpt-3.5-turbo
64,4,206,gpt-3.5-turbo
66,4,206,gpt-3.5-turbo
67,3,206,gpt-3.5-turbo
68,4,206,gpt-3.5-turbo
69,4,206,gpt-3.5-turbo
70,4,206,gpt-3.5-turbo
72,3,206,gpt-3.5-turbo
73,5,206,gpt-3.5-turbo
74,4,206,gpt-3.5-turbo
75,4,206,gpt-3.5-turbo
76,3,206,gpt-3.5-turbo
77,4,206,gpt-3.5-turbo
78,4,206,gpt-3.5-turbo
80,4,206,gpt-3.5-turbo
81,4,206,gpt-3.5-turbo
82,4,206,gpt-3.5-turbo
83,4,206,gpt-3.5-turbo
84,3,206,gpt-3.5-turbo
85,3,206,gpt-3.5-turbo
86,4,206,gpt-3.5-turbo
87,4,206,gpt-3.5-turbo
88,4,206,gpt-3.5-turbo
89,4,206,gpt-3.5-turbo
90,3,206,gpt-3.5-turbo
91,4,206,gpt-3.5-turbo
92,4,206,gpt-3.5-turbo
93,3,206,gpt-3.5-turbo
94,5,206,gpt-3.5-turbo
95,4,206,gpt-3.5-turbo
96,3,206,gpt-3.5-turbo
97,3,206,gpt-3.5-turbo
99,4,206,gpt-3.5-turbo
100,3,206,gpt-3.5-turbo
102,4,206,gpt-3.5-turbo
104,4,206,gpt-3.5-turbo
105,3,206,gpt-3.5-turbo
106,3,206,gpt-3.5-turbo
107,4,206,gpt-3.5-turbo
108,4,206,gpt-3.5-turbo
