gen_id,answer,mfv_code,model
1,3,111,gpt-3.5-turbo
2,4,111,gpt-3.5-turbo
3,3,111,gpt-3.5-turbo
5,3,111,gpt-3.5-turbo
6,3,111,gpt-3.5-turbo
7,3,111,gpt-3.5-turbo
8,4,111,gpt-3.5-turbo
9,4,111,gpt-3.5-turbo
10,3,111,gpt-3.5-turbo
12,3,111,gpt-3.5-turbo
13,3,111,gpt-3.5-turbo
14,3,111,gpt-3.5-turbo
15,4,111,gpt-3.5-turbo
16,4,111,gpt-3.5-turbo
17,3,111,gpt-3.5-turbo
18,3,111,gpt-3.5-turbo
19,3,111,gpt-3.5-turbo
20,3,111,gpt-3.5-turbo
21,4,111,gpt-3.5-turbo
22,3,111,gpt-3.5-turbo
23,3,111,gpt-3.5-turbo
24,3,111,gpt-3.5-turbo
26,3,111,gpt-3.5-turbo
29,3,111,gpt-3.5-turbo
30,4,111,gpt-3.5-turbo
31,3,111,gpt-3.5-turbo
32,4,111,gpt-3.5-turbo
33,3,111,gpt-3.5-turbo
34,3,111,gpt-3.5-turbo
35,3,111,gpt-3.5-turbo
36,4,111,gpt-3.5-turbo
37,3,111,gpt-3.5-turbo
38,3,111,gpt-3.5-turbo
39,3,111,gpt-3.5-turbo
40,4,111,gpt-3.5-turbo
42,3,111,gpt-3.5-turbo
43,3,111,gpt-3.5-turbo
44,3,111,gpt-3.5-turbo
45,3,111,gpt-3.5-turbo
46,3,111,gpt-3.5-turbo
47,3,111,gpt-3.5-turbo
48,3,111,gpt-3.5-turbo
49,3,111,gpt-3.5-turbo
50,4,111,gpt-3.5-turbo
51,3,111,gpt-3.5-turbo
53,3,111,gpt-3.5-turbo
54,5,111,gpt-3.5-turbo
55,3,111,gpt-3.5-turbo
58,4,111,gpt-3.5-turbo
59,4,111,gpt-3.5-turbo
61,3,111,gpt-3.5-turbo
62,3,111,gpt-3.5-turbo
63,3,111,gpt-3.5-turbo
64,5,111,gpt-3.5-turbo
65,3,111,gpt-3.5-turbo
66,5,111,gpt-3.5-turbo
67,4,111,gpt-3.5-turbo
68,3,111,gpt-3.5-turbo
69,3,111,gpt-3.5-turbo
70,4,111,gpt-3.5-turbo
71,3,111,gpt-3.5-turbo
72,3,111,gpt-3.5-turbo
73,3,111,gpt-3.5-turbo
74,3,111,gpt-3.5-turbo
76,3,111,gpt-3.5-turbo
78,3,111,gpt-3.5-turbo
79,5,111,gpt-3.5-turbo
80,3,111,gpt-3.5-turbo
82,3,111,gpt-3.5-turbo
83,3,111,gpt-3.5-turbo
84,3,111,gpt-3.5-turbo
85,3,111,gpt-3.5-turbo
86,3,111,gpt-3.5-turbo
87,3,111,gpt-3.5-turbo
88,4,111,gpt-3.5-turbo
89,3,111,gpt-3.5-turbo
90,3,111,gpt-3.5-turbo
92,3,111,gpt-3.5-turbo
94,3,111,gpt-3.5-turbo
95,3,111,gpt-3.5-turbo
96,3,111,gpt-3.5-turbo
97,3,111,gpt-3.5-turbo
98,3,111,gpt-3.5-turbo
99,3,111,gpt-3.5-turbo
100,3,111,gpt-3.5-turbo
101,3,111,gpt-3.5-turbo
102,3,111,gpt-3.5-turbo
104,3,111,gpt-3.5-turbo
105,3,111,gpt-3.5-turbo
106,3,111,gpt-3.5-turbo
107,3,111,gpt-3.5-turbo
