scale,foundation,condition,agent,alpha
MFQ,Harm,overall,Claude 2.1,0.2938783411030278
MFQ - Part 1,Harm,overall,Claude 2.1,0.4705317931874377
MFQ - Part 2,Harm,overall,Claude 2.1,0.019001959686449854
MFQ,Harm,qv,Claude 2.1,0.19596708563161225
MFQ - Part 1,Harm,qv,Claude 2.1,0.46898529939046246
MFQ - Part 2,Harm,qv,Claude 2.1,-0.030502730182639604
MFQ,Harm,vq,Claude 2.1,0.4480749643511916
MFQ - Part 1,Harm,vq,Claude 2.1,0.5315028901734105
MFQ - Part 2,Harm,vq,Claude 2.1,0.11977454203851573
MFQ,Harm,overall,GPT-4,0.75601292605986
MFQ - Part 1,Harm,overall,GPT-4,0.9028783490224475
MFQ - Part 2,Harm,overall,GPT-4,0.4163160662634762
MFQ,Harm,qv,GPT-4,0.8364768129474012
MFQ - Part 1,Harm,qv,GPT-4,0.9148992376783154
MFQ - Part 2,Harm,qv,GPT-4,0.5515519206274719
MFQ,Harm,vq,GPT-4,-0.06825433526011544
MFQ - Part 1,Harm,vq,GPT-4,0.37278106508875763
MFQ - Part 2,Harm,vq,GPT-4,0.0
MFQ,Fairness,overall,Claude 2.1,0.41332678539119655
MFQ - Part 1,Fairness,overall,Claude 2.1,0.3778752716388534
MFQ - Part 2,Fairness,overall,Claude 2.1,0.36269706007669356
MFQ,Fairness,qv,Claude 2.1,0.41835288052584085
MFQ - Part 1,Fairness,qv,Claude 2.1,0.3426853707414828
MFQ - Part 2,Fairness,qv,Claude 2.1,0.4136280765724705
MFQ,Fairness,vq,Claude 2.1,0.4237222005462348
MFQ - Part 1,Fairness,vq,Claude 2.1,0.42161254199328113
MFQ - Part 2,Fairness,vq,Claude 2.1,0.2043879907621245
MFQ,Fairness,overall,GPT-4,0.8661072664359861
MFQ - Part 1,Fairness,overall,GPT-4,0.9404510419640307
MFQ - Part 2,Fairness,overall,GPT-4,0.6215699608520647
MFQ,Fairness,qv,GPT-4,0.9207627021183614
MFQ - Part 1,Fairness,qv,GPT-4,0.9579231129864042
MFQ - Part 2,Fairness,qv,GPT-4,0.7654480606330806
MFQ,Fairness,vq,GPT-4,0.06723607789545612
MFQ - Part 1,Fairness,vq,GPT-4,0.0
MFQ - Part 2,Fairness,vq,GPT-4,0.0
MFQ,Ingroup,overall,Claude 2.1,0.539420683114454
MFQ - Part 1,Ingroup,overall,Claude 2.1,0.6966968512039515
MFQ - Part 2,Ingroup,overall,Claude 2.1,0.040342636087317085
MFQ,Ingroup,qv,Claude 2.1,0.572795075174618
MFQ - Part 1,Ingroup,qv,Claude 2.1,0.7171804511278196
MFQ - Part 2,Ingroup,qv,Claude 2.1,0.08819133034379684
MFQ,Ingroup,vq,Claude 2.1,0.4687176962835343
MFQ - Part 1,Ingroup,vq,Claude 2.1,0.6594650205761314
MFQ - Part 2,Ingroup,vq,Claude 2.1,-0.019855595667870207
MFQ,Ingroup,overall,GPT-4,0.8143181411196454
MFQ - Part 1,Ingroup,overall,GPT-4,0.8966231757614215
MFQ - Part 2,Ingroup,overall,GPT-4,0.5077793614351919
MFQ,Ingroup,qv,GPT-4,0.8413628080767177
MFQ - Part 1,Ingroup,qv,GPT-4,0.8941680753441197
MFQ - Part 2,Ingroup,qv,GPT-4,0.6323851713686173
MFQ,Ingroup,vq,GPT-4,0.3443571909356065
MFQ - Part 1,Ingroup,vq,GPT-4,0.6640061077179344
MFQ - Part 2,Ingroup,vq,GPT-4,0.11656082887700558
MFQ,Authority,overall,Claude 2.1,0.44623483127389596
MFQ - Part 1,Authority,overall,Claude 2.1,0.25981861789836586
MFQ - Part 2,Authority,overall,Claude 2.1,0.42465205074516554
MFQ,Authority,qv,Claude 2.1,0.36308268915436875
MFQ - Part 1,Authority,qv,Claude 2.1,0.18692922374429238
MFQ - Part 2,Authority,qv,Claude 2.1,0.30292979546710885
MFQ,Authority,vq,Claude 2.1,0.5701902748414376
MFQ - Part 1,Authority,vq,Claude 2.1,0.44097807757166957
MFQ - Part 2,Authority,vq,Claude 2.1,0.579594017094017
MFQ,Authority,overall,GPT-4,0.8368419793834159
MFQ - Part 1,Authority,overall,GPT-4,0.8111008142610215
MFQ - Part 2,Authority,overall,GPT-4,0.6821850899742931
MFQ,Authority,qv,GPT-4,0.8577485346245625
MFQ - Part 1,Authority,qv,GPT-4,0.8089278739747428
MFQ - Part 2,Authority,qv,GPT-4,0.7418139669660968
MFQ,Authority,vq,GPT-4,0.5003670532961385
MFQ - Part 1,Authority,vq,GPT-4,0.5454051114736269
MFQ - Part 2,Authority,vq,GPT-4,0.37803848750844044
MFQ,Purity,overall,Claude 2.1,0.6285784858589601
MFQ - Part 1,Purity,overall,Claude 2.1,0.40930427493713334
MFQ - Part 2,Purity,overall,Claude 2.1,0.5943508486252895
MFQ,Purity,qv,Claude 2.1,0.5526368232645681
MFQ - Part 1,Purity,qv,Claude 2.1,0.38587196467991186
MFQ - Part 2,Purity,qv,Claude 2.1,0.5166642515577453
MFQ,Purity,vq,Claude 2.1,0.6751704287229207
MFQ - Part 1,Purity,vq,Claude 2.1,0.41520154373927964
MFQ - Part 2,Purity,vq,Claude 2.1,0.6493859234766177
MFQ,Purity,overall,GPT-4,0.8000260298041258
MFQ - Part 1,Purity,overall,GPT-4,0.69156927520834
MFQ - Part 2,Purity,overall,GPT-4,0.7063714841876605
MFQ,Purity,qv,GPT-4,0.8366932460982756
MFQ - Part 1,Purity,qv,GPT-4,0.7233908636167886
MFQ - Part 2,Purity,qv,GPT-4,0.7670847367488035
MFQ,Purity,vq,GPT-4,0.4727244854941938
MFQ - Part 1,Purity,vq,GPT-4,0.3252212389380531
MFQ - Part 2,Purity,vq,GPT-4,0.4175222055600414
MFV,Authority,overall,GPT-4,0.7687328999615812
MFV,Authority,qv,GPT-4,0.7674867313259933
MFV,Authority,vq,GPT-4,0.7511700394118538
MFV,Authority,overall,Claude 2.1,0.924950756031067
MFV,Authority,qv,Claude 2.1,0.9203603454116801
MFV,Authority,vq,Claude 2.1,0.8445230578061801
MFV,Loyalty,overall,GPT-4,0.8725463194529827
MFV,Loyalty,qv,GPT-4,0.8738672321532114
MFV,Loyalty,vq,GPT-4,0.872598680556149
MFV,Loyalty,overall,Claude 2.1,0.9240675372059689
MFV,Loyalty,qv,Claude 2.1,0.8916945824098466
MFV,Loyalty,vq,Claude 2.1,0.8608636043037566
MFV,Fairness,overall,GPT-4,0.6738032192878545
MFV,Fairness,qv,GPT-4,0.6621868355366551
